"Date","Original","Log","DiffLog"
Feb 1997,90.23,4.50236196600641,-0.0489854132841749
Mar 1997,93.7,4.54009818924438,0.0377362232379665
Apr 1997,90.76,4.50821865991164,-0.031879529332735
May 1997,86.14,4.45597387962596,-0.0522447802856769
Jun 1997,90.81,4.50876941170174,0.0527955320757725
Jul 1997,79.63,4.37739090626935,-0.131378505432384
Aug 1997,103.69,4.64140567857019,0.264014772300833
Sep 1997,97.8,4.58292457704077,-0.0584811015294147
Oct 1997,96.57,4.57026813397883,-0.0126564430619451
Nov 1997,96.56,4.57016457678928,-0.000103557189550685
Dec 1997,94.73,4.55103073988744,-0.0191338369018332
Jan 1998,96.72,4.57182020630654,0.0207894664190942
Feb 1998,94.85,4.55229669638102,-0.0195235099255138
Mar 1998,93.91,4.54233687681652,-0.00995981956450098
Apr 1998,93.12,4.53388898398313,-0.0084478928333942
May 1998,108.43,4.68610480348409,0.152215819500962
Jun 1998,98.94,4.59451360579956,-0.0915911976845276
Jul 1998,95.08,4.55471864249199,-0.0397949633075694
Aug 1998,95.47,4.55881206200994,0.0040934195179485
Sep 1998,76.85,4.3418554699846,-0.216956592025337
Oct 1998,91.3,4.51415078760092,0.172295317616318
Nov 1998,90.02,4.50003186786479,-0.0141189197361369
Dec 1998,90.03,4.50014294812039,0.000111080255599028
Jan 1999,88.83,4.48672443078161,-0.013418517338776
Feb 1999,86.71,4.46256921738907,-0.0241552133925405
Mar 1999,86.34,4.45829299012733,-0.00427622726173738
Apr 1999,86.22,4.45690216931899,-0.00139082080834285
May 1999,84.32,4.43461908479305,-0.0222830845259363
Jun 1999,77.6,4.35156742718917,-0.0830516576038791
Jul 1999,92.31,4.52515247800206,0.173585050812887
Aug 1999,86.01,4.45446356856339,-0.0706889094386725
Sep 1999,91.83,4.51993904162543,0.065475473062043
Oct 1999,93.45,4.53742653390157,0.0174874922761408
Nov 1999,92.78,4.5302310993236,-0.00719543457797389
Dec 1999,88.65,4.48469603252022,-0.0455350668033807
Jan 2000,89.22,4.49110522970012,0.0064091971799014
Feb 2000,91.13,4.51228705850804,0.0211818288079169
Mar 2000,92.86,4.53109298259178,0.0188059240837406
Apr 2000,82.12,4.40818159215073,-0.122911390441043
May 2000,92.15,4.52341768411583,0.1152360919651
Jun 2000,88.38,4.48164569970259,-0.0417719844132387
Jul 2000,89.74,4.49691660054784,0.015270900845243
Aug 2000,91.64,4.5178678575853,0.0209512570374581
Sep 2000,91.14,4.51239678583574,-0.0054710717495583
Oct 2000,90.86,4.50931986033126,-0.00307692550447936
Nov 2000,90.65,4.50700593720086,-0.00231392313039702
Dec 2000,92.02,4.52200594472732,0.0150000075264618
Jan 2001,83.99,4.43069774413754,-0.0913082005897863
Feb 2001,86.35,4.45840880459269,0.027711060455152
Mar 2001,79.96,4.3815265096322,-0.0768822949604884
Apr 2001,88.13,4.47881299711157,0.0972864874793693
May 2001,89.41,4.49323253274723,0.0144195356356578
Jun 2001,90.23,4.50236196600641,0.00912943325918292
Jul 2001,88.77,4.48604875508023,-0.0163132109261817
Aug 2001,93.35,4.53635586998773,0.0503071149075041
Sep 2001,89.95,4.49925396039654,-0.0371019095911898
Oct 2001,84.04,4.4312928759768,-0.0679610844197427
Nov 2001,86.77,4.4632609398054,0.0319680638285984
Dec 2001,91.29,4.51404125257699,0.0507803127715913
Jan 2002,96.62,4.57078575912626,0.0567445065492711
Feb 2002,95.45,4.55860255017176,-0.0121832089545038
Mar 2002,94.03,4.54361388028899,-0.0149886698827713
Apr 2002,93.08,4.53345933843409,-0.0101545418548943
May 2002,88.93,4.48784954341155,-0.0456097950225427
Jun 2002,85.07,4.44347444698779,-0.0443750964237557
Jul 2002,85.09,4.44370951986147,0.000235072873673303
Aug 2002,84.74,4.43958774519841,-0.0041217746630533
Sep 2002,87.98,4.47710951592057,0.0375217707221607
Oct 2002,91.38,4.51502663613513,0.0379171202145523
Nov 2002,94.91,4.5529290741424,0.0379024380072748
Dec 2002,89.2,4.49088103958596,-0.0620480345564367
Jan 2003,94.37,4.54722322603324,0.056342186447278
Feb 2003,92.2,4.52396013056255,-0.0232630954706936
Mar 2003,95.46,4.55870731157775,0.0347471810152022
Apr 2003,96.28,4.56726061291487,0.00855330133712062
May 2003,100.85,4.61363426440022,0.0463736514853501
Jun 2003,104.2,4.64631212931927,0.0326778649190453
Jul 2003,101.82,4.62320654847419,-0.0231055808450762
Aug 2003,108.77,4.68923556110576,0.066029012631569
Sep 2003,95.36,4.55765920331704,-0.131576357788719
Oct 2003,90.67,4.50722654165796,-0.0504326616590749
Nov 2003,92.36,4.52569398448629,0.0184674428283298
Dec 2003,96.39,4.56840246179588,0.0427084773095823
Jan 2004,90.47,4.50501830403765,-0.063384157758227
Feb 2004,99.21,4.59723881566181,0.092220511624161
Mar 2004,89.97,4.49947628142903,-0.0977625342327837
Apr 2004,87.87,4.47585844950775,-0.0236178319212756
May 2004,85.9,4.45318382899021,-0.0226746205175417
Jun 2004,87.62,4.47300928238575,0.0198254533955424
Jul 2004,87.14,4.4675160206893,-0.00549326169645603
Aug 2004,91.3,4.51415078760092,0.0466347669116267
Sep 2004,92.87,4.53120066578792,0.0170498781869943
Oct 2004,94.1,4.54435804659133,0.0131573808034169
Nov 2004,95.58,4.55996359315001,0.0156055465586782
Dec 2004,95.04,4.55429785561433,-0.00566573753567745
Jan 2005,97.33,4.5781072664384,0.0238094108240672
Feb 2005,101.06,4.61571439986376,0.03760713342536
Mar 2005,101.73,4.62232224480566,0.00660784494189492
